year;month;revenue
2023;8;35867730
2024;1;4128497
2023;2;15089436
2024;1;142169776
2024;4;7867539
2023;5;45661257
2024;5;17167366
2024;4;8119314
2024;9;39294340
2023;8;99261492
2024;10;27881652
2023;7;20085085
2024;8;29255802
2024;9;20075362
2023;9;58963912
2024;10;49088010
2023;4;35535480
2023;2;17207136
2024;9;31669379
2023;8;29560648
2024;2;60955517
2023;8;125488370
2024;1;72944488
2023;5;27477237
2024;5;5783666
2024;5;14930760
2023;6;4710838
2024;5;51032409
2023;11;50852799
2023;2;25515750
2023;9;61042219
2023;2;30027570
2024;11;33377872
2024;2;53543064
2023;2;19508500
2023;6;17267874
2023;1;53933432
2024;10;19085139
2024;7;53053098
2024;10;119566638
2024;5;8395413
2024;8;24201096
2023;7;11848114
2023;1;16277270
2023;8;126933212
2023;3;42410662
2023;12;23533404
2023;9;53937228
2023;1;36492558
2023;5;97828705
2024;11;125999573
2023;1;122720358
2024;1;8087574
2023;3;121805215
2024;8;29599542
2023;1;50711055
2023;11;100744330
2024;6;16906766
2023;10;63363342
2024;8;107021664
2023;3;70358472
2024;1;121723952
2024;8;29391715
2023;5;89701150
2024;6;19774275
2023;6;41834630
2024;10;38549095
2023;6;91519560
2024;1;17255290
2023;9;17737064
2023;3;86043420
2023;10;30135682
2023;11;65360736
2024;12;126454349
2023;5;61048074
2024;7;8350143
2023;11;21717485
2023;9;107238992
2023;6;103014527
2023;7;51444633
2024;6;30600415
2024;10;104884500
2023;1;92143746
2023;7;119951568
2024;6;92039050
2023;9;78298860
2024;12;20559805
2024;3;38990970
2024;6;19746251
2024;8;71842804
2024;1;25993350
2023;5;36574868
2024;1;35256574
2023;11;119030682
2023;12;54574383
2024;11;20170266
2024;3;4475656
2024;10;105711834
2023;10;50103690
2023;7;55388766
2023;12;120379326
2023;5;44036370
2023;4;33659796
2023;11;91140010
2023;12;45780549
2023;3;26741034
2024;11;8287161
2023;7;53251605
2023;7;117667068
2023;5;27342966
2023;11;54989997
2024;12;25791342
2023;11;29134086
2023;10;21751995
2023;3;59543008
2024;8;90958385
2024;11;4137300
2023;1;25548232
2024;9;60677492
2024;2;7507821
2024;3;106809150
2023;7;19997433
2024;11;53492643
2024;11;53682126
2023;1;58490306
2023;1;17469514
2023;8;18067842
2023;7;109707912
2023;5;100185690
2024;7;54888696
2023;12;15596746
2024;8;123565288
2024;2;5766856
2023;6;37416126
2023;5;6350400
2024;12;45508221
2023;5;101155145
2024;5;16569900
2024;2;17053198
2024;5;19650800
2024;2;124621910
2024;2;4762422
2024;5;46996404
2024;9;127000062
2024;10;103865610
2023;10;41210110
2023;9;24361990
2024;9;52145673
2023;4;18315106
2023;4;4753354
2023;12;52952382
2023;12;29014727
2023;2;21125635
2023;1;54575193
2023;9;69263508
2023;6;38223030
2024;5;59994652
2023;2;58896592
2023;4;60825048
2024;3;9424324
2024;6;40471368
2023;3;11150874
2024;6;30457004
2024;5;98346855
2023;8;16990048
2023;10;60882292
2023;7;36525960
2024;4;30159150
2024;7;20553160
2023;6;18103370
2023;3;28606505
2024;10;54071646
2024;9;61261722
2024;12;13545672
2024;12;18363076
2024;5;73262156
2023;8;62865208
2024;8;98597695
2023;9;7827466
2024;9;8441455
2024;10;15446460
2023;5;17556645
2024;11;58910322
2023;6;8859254
2024;6;104418041
2024;1;120006420
2024;4;8717670
2024;1;15447511
2023;7;4293172
2023;8;7700041
2023;3;46290528
2024;11;27575540
2024;11;60047670
2024;8;122871006
2024;4;40051732
2024;11;74053910
2023;12;15498270
2024;4;17708832
2023;11;35097978
2023;8;23770268
2023;1;8850486
2023;4;32259495
2024;12;39913454
2024;12;55504645
2023;5;40125875
2024;1;8636597
2024;5;17558270
2023;12;6210515
2023;9;36163868
2024;6;90797460
2023;7;46032036
2023;4;142288097
2023;10;24585090
2024;2;33182684
2024;2;25644780
2024;1;13613661
2023;1;123063017
2024;7;60479061
2023;7;85781115
2024;9;42614005
2023;1;18905116
2024;4;14409507
2024;7;91973310
2024;4;85862405
2024;9;19989120
2024;9;33662886
2023;12;67079128
2024;9;53541903
2023;3;17010330
2024;4;5569650
2024;7;35661828
2023;10;61601960
2024;11;125484513
2024;4;128648457
2024;1;89616864
2023;7;103090170
2023;6;22149196
2024;7;9484981
2024;8;16015676
2024;10;19612879
2023;6;66386260
2024;4;28911222
2023;2;49722762
2023;7;91056828
2024;5;4614897
2024;2;49982007
2023;7;33555568
2024;9;61097832
2024;10;104459778
2023;2;46734900
2023;6;88557705
2023;10;71859332
2023;8;55313881
2023;12;66276736
2024;11;78284188
2024;11;9623344
2024;3;65103689
2023;6;90647430
2023;12;25384692
2023;3;36001686
2023;5;47267580
2023;7;119232939
2024;3;29459394
2023;6;17440443
2023;8;29269832
2024;9;19913360
2024;7;67684332
2024;10;78031152
2023;3;15037818
2023;9;43953015
2024;1;29478596
2024;7;73337000
2023;3;9247432
2023;3;40552150
2024;2;45657695
2024;2;15881144
2024;7;117412792
2024;5;11213680
2023;3;72647075
2024;7;47278452
2023;12;60737691
2023;11;52730076
2023;12;6042418
2024;1;55283613
2024;2;9042540
2023;4;24332733
2023;9;36679016
2024;7;61097883
2023;6;40010859
2023;6;36228588
2024;6;18449652
2024;2;22848441
2024;11;4075112
2024;12;109664070
2024;9;70620060
2024;3;47202930
2024;6;83996500
2024;10;43070575
2023;12;60638828
2024;8;84520315
2023;1;118193304
2023;1;8279278
2023;11;34956752
2024;12;68465408
2023;5;60995858
2023;11;49682616
2024;5;49619040
2024;12;31011704
2023;9;24443160
2024;1;42514595
2024;6;19985664
2023;11;30801488
2023;12;11612422
2023;6;105219702
2024;1;54917427
2024;4;107127408
2023;12;85375580
2024;2;117001283
2024;3;50122530
2023;10;51604746
2024;4;40835890
2023;7;49658976
2023;3;84428930
2024;12;36158628
2023;3;7924851
2024;10;67505924
2023;1;69275764
2023;10;4412870
2023;8;18341170
2024;6;29710006
2023;10;18741424
2023;9;122151344
2024;12;25614108
2024;11;15741514
2024;11;60426228
2023;10;66642728
2024;11;13496952
2023;10;48363216
2024;9;35590198
2024;4;16308952
2024;9;91640568
2023;11;41924745
2024;1;17576418
2023;9;53462811
2023;3;34938542
2024;5;17516213
2024;8;22773828
2023;5;136568033
2024;8;19847049
2023;2;128471336
2023;1;6394258
2023;2;79883632
2024;5;89855820
2024;2;33226072
2023;12;76099085
2024;12;27801198
2023;2;16944656
2024;9;32234515
2023;4;91329558
2024;3;41694478
2023;1;117727981
2024;2;29656218
2023;10;124077149
2024;1;68491408
2024;12;40584560
2024;10;100611285
2024;9;31270465
2023;9;49289346
2023;8;36085920
2024;6;140972174
2023;10;119910852
2024;11;19659036
2024;2;8901576
2023;4;19070376
2023;8;25302990
2024;5;73932436
2023;6;58873356
2024;11;41393205
2023;6;90875725
2023;10;119033022
2024;3;69006652
2023;1;8276520
2023;3;24016743
2023;5;14843296
2024;4;31729201
2024;2;44722395
2023;2;51847671
2024;4;115991470
2023;8;70549616
2024;11;34099756
2024;2;61305951
2024;4;58616512
2023;8;50578836
2024;8;88531584
2024;2;14833412
2024;5;79719536
2024;9;17642259
2023;1;58861688
2023;1;101091075
2024;9;73640865
2023;4;13593339
2023;6;29625810
2024;12;7913537
2023;4;66846564
2023;5;20133726
2023;12;18561424
2024;3;9458982
2023;5;99512694
2024;2;23772415
2024;8;39541355
2024;12;90741535
2023;3;79301160
2024;2;14683566
2024;10;56512320
2023;12;128217173
2024;7;34922276
2023;7;53172636
2024;3;13587951
2024;9;53402493
2024;7;35964524
2023;12;16506041
2024;9;104719503
2024;10;100614606
2023;9;19462911
2024;2;30561930
2024;11;19370841
2024;12;43446170
2024;7;66210963
2023;6;5838215
2023;11;79288276
2023;6;66814092
2023;7;23506794
2024;10;17083368
2023;2;32118226
2024;4;56391587
2023;8;110264874
2024;1;4426038
2024;8;108691050
2023;12;40593224
2024;6;44295264
2024;1;51064866
2023;5;17389080
2024;10;100750188
2023;3;7941106
2024;7;32836624
2024;8;35227370
2024;12;44397661
2023;11;32425975
2024;9;18417986
2024;8;5701739
2024;2;39857848
2024;3;4102851
2024;9;86145400
2023;3;53645520
2023;5;19561836
2023;1;30615328
2024;4;42110971
2024;11;53680620
2023;8;18423273
2023;10;60941322
2023;8;17315146
2024;5;56072130
2023;8;64162336
2023;10;122252322
2023;8;22878545
2023;11;85303320
2023;8;34357024
2023;3;23579250
2024;4;36633890
2024;10;37093828
2023;11;83518345
2024;10;15065464
2024;11;33920126
2023;5;25902534
2023;12;91229394
2024;6;12280274
2024;2;11729934
2023;8;14550082
2023;11;54622137
2023;10;8421667
2023;12;19819019
2023;10;8811870
2023;10;4949123
2024;7;36819846
2024;8;52501227
2024;11;35744648
2023;12;37868304
2023;9;59378252
2024;3;36769688
2024;5;74939200
2023;8;64371398
2023;7;92330820
2024;11;33193174
2023;9;100287354
2023;9;23969516
2024;7;44060022
2024;7;87339996
2023;10;11731094
2024;1;126310415
2023;6;12545098
2023;11;46191771
2023;5;17501298
2024;12;7567799
2023;11;40618592
2024;4;11063450
2023;5;32269996
2024;4;17106320
2023;8;19572283
2024;3;5899616
2023;4;36625768
2024;4;9088506
2024;3;39771955
2023;7;56668668
2023;7;16580603
2024;11;35170494
2024;11;17563165
2024;8;108459092
2023;2;43792155
2024;11;73956700
2023;1;17181900
2023;3;21677415
2024;10;101530075
2023;5;4623737
2024;1;25662596
2024;3;20111005
2024;1;8202113
2024;2;8446728
2023;1;11479512
2023;11;22561950
2024;9;139952197
2023;6;40308680
2023;7;18567788
2024;10;63986594
2024;1;29791008
2023;2;39641665
2024;3;50135727
2023;7;15378688
2024;1;30031908
2023;10;87851970
2023;6;68878936
2024;12;29746086
2024;11;140528675
2023;9;56065200
2024;11;44096295
2024;5;73428080
2023;2;30163860
2024;7;39266850
2024;4;17197339
2024;7;58690604
2023;3;9944608
2023;6;36663524
2024;1;5897921
2023;5;53530314
2023;6;81475200
2024;3;34592948
2024;5;18082982
2024;9;9809388
2024;9;54909696
2023;1;23015608
2024;7;40532758
2023;7;18017955
2024;9;18053613
2024;8;78580260
2023;9;34845083
2023;8;47661120
2023;5;138702172
2023;10;83639635
2024;12;24481056
2023;8;55804140
2024;9;41423683
2024;1;4906605
2023;6;35800644
2024;11;25037508
2024;7;92864226
2023;2;56564501
2023;9;51939546
2024;6;32174968
2024;9;98763815
2024;1;17795050
2023;2;82838785
2024;7;18065496
2024;8;17312024
2023;6;83575500
2023;7;45767235
2024;7;143337131
2023;4;54490962
2024;11;45989433
2023;12;61333532
2024;2;36634338
2023;4;24208407
2023;3;14922604
2024;3;102998598
2023;5;32456180
2023;2;24518865
2024;4;85925545
2024;10;16745132
2024;10;35275204
2024;2;25474608
2024;10;121120662
2024;6;16933524
2023;4;46530880
2024;5;78950096
2023;7;8830375
2023;12;27680121
2023;9;117004979
2024;7;17263686
2024;3;85351420
2023;8;75577910
2024;3;36715868
2023;6;35139072
2023;9;17947032
2023;7;28084025
2023;7;30871515
2023;3;45775056
2023;2;36155274
2024;4;100299145
2023;6;27306255
2023;2;77321710
2024;8;45050322
2023;1;36745888
2024;11;33845440
2023;5;59259792
2023;12;90612705
2023;5;80201284
2024;1;28519470
2024;9;24917996
2023;2;59480430
2024;8;19885778
2024;12;106831690
2024;7;59987732
2024;1;43983732
2023;8;39804194
2024;12;53045652
2023;12;17671152
2024;5;105267960
2024;5;91393950
2024;4;78396532
2024;5;122336109
2023;5;16282324
2024;8;23738538
2023;8;17978744
2023;1;109780668
2024;7;23106855
2023;11;27364617
2023;10;117490128
2023;12;107563820
2024;1;39038440
2023;4;16439688
2023;5;18852656
2024;3;27841944
2023;5;8430097
2023;1;83695310
2023;9;29490420
2024;4;139213662
2023;7;61084824
2023;7;16438474
2024;2;57697192
2024;3;12892744
2023;10;18290616
2023;3;51703650
2023;7;90589245
2024;12;109834710
2023;9;60788932
2024;2;33419358
2023;4;40510946
2024;10;23593179
2023;6;68972584
2023;8;33993924
2023;10;30450236
2024;6;27511755
2023;10;68109132
2023;4;51733830
2023;9;18886980
2023;12;11346408
2023;4;6129081
2024;3;127818502
2024;6;30686174
2024;7;61263536
2023;12;61213866
2023;5;116177901
2024;11;69972116
2024;11;45454906
2024;1;11718374
2024;7;9958412
2023;4;116136706
2024;4;138344710
2023;11;58888104
2023;4;59641392
2024;10;17985948
2024;11;106000002
2023;6;31387228
2023;10;56238828
2023;4;19373816
2024;1;19322202
2024;6;23262410
2023;8;18282468
2024;12;120505272
2023;11;33485502
2023;12;24637455
2024;5;122234728
2023;12;87996350
2023;12;109617594
2024;12;79935924
2023;12;42648695
2024;4;39694070
2024;7;29085042
2024;4;30676775
2023;11;4467173
2023;11;14737058
2024;12;52578591
2024;7;52293042
2024;2;64895712
2024;11;17995766
2023;1;79092472
2024;1;11017244
2023;8;68856940
2024;11;12218220
2024;2;11610498
2023;8;105556968
2023;2;40753744
2023;8;17475350
2024;5;33916420
2024;10;119081868
2023;12;34076548
2023;1;19270947
2023;10;19131356
2023;12;110075460
2024;1;36868716
2024;10;26287326
2023;11;74922220
2023;1;64581209
2024;2;62605368
2023;3;45227328
2023;1;8020297
2024;12;4799984
2023;1;20156209
2024;11;7797073
2024;8;35636204
2024;1;12970500
2024;6;39421298
2023;11;22913584
2023;7;46968865
2024;12;36726398
2023;1;61777464
2023;8;102515308
2024;12;35601888
2023;10;108766188
2023;9;14403279
2023;1;4821191
2023;5;66793016
2023;4;68231592
2024;7;16866008
2024;10;123742773
2023;2;87559060
2023;10;28587741
2023;3;33881776
2024;4;37280676
2023;9;17121366
2024;6;83637690
2024;10;4027050
2023;1;97822885
2023;6;136580269
2024;6;90070130
2024;10;26213868
2023;10;107878428
2024;9;29083134
2023;10;58559997
2023;3;29288060
2024;6;36430242
2023;8;36811656
2024;4;38177994
2023;4;32289440
2023;11;14818539
2023;9;138096777
2023;8;55100388
2024;9;15769230
2023;10;47894802
2023;4;9187082
2024;2;107758518
2023;12;17019091
2023;11;73221456
2023;6;8126370
2023;3;9468872
2024;9;109746444
2024;7;30527640
2023;4;47430775
2023;1;47241318
2023;8;118817610
2023;4;12751614
2023;1;126278341
2023;1;25196685
2023;6;80020944
2024;10;103523980
2023;12;36311834
2023;7;24429504
2024;9;17225885
2023;5;33585828
2024;10;34790020
2024;11;102640278
2023;1;39115046
2024;5;13586091
2024;8;8175791
2024;5;18097280
2023;8;61099848
2024;3;72954972
2024;7;61234328
2023;12;14258358
2023;5;137346734
2024;8;21487315
2024;5;54321657
2023;6;47348406
2023;1;99897015
2023;11;62729590
2023;9;54896973
2024;5;79227520
2024;8;53920230
2023;11;77067800
2023;6;16354612
2024;2;15251799
2023;5;25775082
2024;7;73883352
2023;3;59261592
2024;3;14841909
2023;2;140366499
2024;4;98112940
2023;8;137461835
2023;12;17458370
2023;3;35261556
2024;11;7679518
2023;3;16688514
2023;7;64129527
2024;7;108108070
2023;7;14269146
2024;8;118923090
2024;7;13312728
2023;8;34758521
2023;3;8720436
2023;8;25593444
2024;1;22647441
2023;5;33802968
2023;7;75891435
2023;7;30073302
2024;2;76196205
2023;3;23313450
2024;1;34047024
2024;6;36689800
2023;5;63787045
2024;1;30070600
2024;11;35718458
2023;7;122971884
2024;8;17423887
2023;10;25384512
2024;10;29501430
2024;12;105248304
2023;2;19998873
2023;11;51187776
2024;3;79968224
2024;12;45855050
2023;10;31646652
2023;7;17612021
2023;1;91562730
2024;5;35286180
2024;5;23716625
2024;5;106513518
2023;7;40491998
2023;2;33235884
2023;1;16871867
2023;6;15238553
2024;3;53433891
2023;12;33099768
2024;3;30803468
2024;2;33275960
2024;2;4564986
2024;4;16997233
2023;8;43923465
2023;2;34304980
2023;6;46746220
2023;12;91541465
2023;2;4560451
2024;1;25412856
2023;12;4029548
2024;10;45351235
2024;1;76600825
2023;12;51641160
2024;12;17159227
2024;2;4965625
2023;4;6029127
2023;8;49023186
2024;1;4250232
2023;3;9568960
2023;11;45238677
2024;3;12510003
2023;8;15592720
2023;6;29542210
2024;3;23710983
2024;6;46413354
2024;8;32801432
2024;6;100788560
2024;2;33630060
2023;8;27770905
2023;8;107621325
2023;2;15353702
2024;1;36037518
2023;3;81156524
2023;9;35403100
2024;8;14514366
2024;9;45715962
2024;9;53693129
2023;7;30100706
2024;5;50066769
2023;10;34584312
2024;10;60917884
2024;10;26790402
2023;10;30603160
2023;5;55528291
2024;2;87436300
2023;9;22620205
2024;2;7964829
2024;1;20240374
2023;12;42950490
2023;6;72721000
2023;12;9219529
2024;9;16768108
2024;5;40825736
2023;8;8890313
2023;4;60503772
2024;3;41365254
2023;11;18159863
2023;11;8731658
2023;12;45725916
2024;12;30094520
2023;5;20948010
2023;10;125405441
2024;4;39909046
2024;5;39917339
2023;3;106608299
2024;4;19918812
2023;4;124581996
2024;9;34590912
2024;5;62915923
2024;1;9298710
2024;8;140143129
2023;4;16518514
2024;7;19679214
2024;5;27329772
2023;9;16347310
2023;5;12348084
2024;5;4187595
2024;4;17020962
2023;10;35109660
2023;11;99329910
2023;7;28457892
2023;2;70612772
2023;11;45128184
2023;1;34783336
2023;11;89430315
2024;12;6427347
2024;6;118397112
2024;7;15224019
2024;10;16565902
2024;10;52194777
2023;5;8026981
2023;3;15813386
2024;6;32110324
2023;11;100138865
2023;6;72466944
2023;8;8473515
2023;7;4220011
2024;9;26445696
2024;6;24447930
2024;11;118309968
2023;1;30119870
2024;10;106302035
2023;2;120469230
2023;7;8797390
2024;1;69417604
2024;8;44491311
2024;7;25059360
2023;12;49915695
2023;9;59546725
2024;2;58535848
2023;3;37059896
2024;11;53161577
2023;10;17863024
2024;6;53084046
2024;1;90630285
2023;6;140946022
2024;7;18149062
2023;1;45228168
2024;12;20462509
2023;2;16913355
2024;12;138472663
2023;2;35679210
2023;11;54075324
2024;7;74995695
2024;7;58180087
2023;8;36010516
2024;10;44500449
2024;11;28427586
2024;10;87785895
2023;6;30614368
2023;10;54189438
2023;6;18274015
2024;10;104660520
2024;10;98788420
2023;9;54635166
2024;1;59803844
2023;9;107771400
2024;12;5869619
2023;1;44485413
2024;10;7987111
2024;2;33110434
2023;9;11259740
2024;10;61838609
2024;3;24768892
2023;12;12916406
2024;3;59588367
2024;3;61361760
2024;11;87027545
2024;3;46743610
2023;9;46722850
2024;3;48153132
2023;5;4264435
2023;8;55488231
2023;7;15900806
2024;4;36439740
2023;12;26504010
2023;5;54154215
2024;6;17641264
2024;5;7879052
2023;4;18186320
2023;2;38155595
2023;9;121697988
2024;12;122860560
2024;7;9788072
2024;10;23186706
2024;3;35347338
2024;7;18452026
2024;12;27570249
2024;7;102189605
2024;6;68301520
2023;3;137484326
2024;2;117498850
2023;5;59485672
2023;6;29924530
2023;12;61611760
2023;8;35837118
2024;8;61246227
2024;5;78991552
2023;11;18745671
2023;8;7690922
2024;11;16813053
2024;12;35315004
2023;4;26634558
2024;8;119052600
2024;12;36066836
2024;6;30149548
2023;3;12049026
2024;5;45467835
2024;1;18210312
2023;9;23340284
2023;7;18663150
2024;9;32099795
2023;11;119284452
2024;2;50670240
2023;1;51868338
2024;9;35168832
2024;9;124652913
2023;9;103488216
2024;4;100673240
2024;9;72902080
2023;1;7887099
2023;7;16913704
2023;6;91395365
2023;12;58629126
2023;11;91911780
2023;6;33714510
2023;4;40576965
2023;10;8930949
2023;12;101928078
2024;4;109275762
2024;9;35792032
2024;12;15245386
2024;4;120361283
2024;1;124325481
2024;11;17485640
2023;2;18010486
2023;10;14816733
2023;1;4237568
2024;3;14656250
2024;2;35821616
2023;1;54852567
2024;5;50278755
2024;6;115925110
2024;4;120981203
2023;11;34073890
2023;4;54103764
2023;9;51850620
2023;2;17864562
2024;3;87027216
2023;6;40683764
2024;12;23917392
2023;11;22395804
2023;2;24223554
2023;1;30024525
2023;9;12741471
2024;1;22803909
2024;2;61776330
2024;3;14827131
2024;1;20450395
2023;9;65312247
2024;9;9407412
2023;9;61960304
2023;7;28619358
2024;11;40835676
2024;11;58047512
2023;6;34683446
2023;11;4983607
2024;11;39266780
2024;5;37345376
2023;3;80547908
2023;10;29438035
2024;12;22703601
2024;4;34755332
2024;8;5642140
2023;4;72328648
2023;3;55103142
2023;5;37515288
2024;9;42843703
2024;5;101669448
2024;7;30849176
2024;12;60482874
2024;2;15063336
2023;9;18120228
2023;10;104240640
2024;3;19519334
2023;4;122981376
2024;2;73707252
2023;6;34126482
2023;4;56216020
2023;11;25079500
2024;7;102762261
2024;4;17957176
2023;7;53672769
2023;9;104963313
2024;2;104748630
2024;7;76838085
2024;1;17112567
2023;5;17136115
2024;12;60225762
2023;4;14835117
2024;7;52621932
2024;2;84268700
2023;5;68770448
2023;9;8198207
2023;6;15017484
2024;7;22350796
2023;4;44554419
2023;7;17871533
2024;1;4623488
2024;12;53355246
2024;8;53975301
2024;3;104381166
2024;11;38417680
2024;9;81915300
2024;3;71475080
2023;10;20952315
2024;9;101516322
2024;11;17402731
2024;5;59785600
2024;1;104488578
2023;6;39018815
2023;1;75485950
2024;3;34113032
2024;5;9499268
2023;2;142270149
2023;11;40096668
2024;2;65697037
2023;8;100062700
2023;3;37319130
2023;3;27268158
2023;6;18660498
2024;3;7585521
2024;12;39848716
2024;12;17930802
2023;2;22717347
2024;12;61238282
2023;7;90140790
2023;10;120481641
2023;10;9945320
2023;10;87550602
2024;11;6087901
2024;4;122232264
2023;12;15193338
2023;5;118673058
2024;9;46229400
2023;12;25465432
2023;4;87694355
2024;10;30159824
2023;8;66296268
2024;1;26643864
2024;4;73551215
2024;7;9574638
2023;12;66046024
2023;6;90896115
2024;9;8782905
2023;5;70873064
2023;11;18575730
2024;5;54201354
2023;11;87503088
2023;6;36539116
2024;9;41120933
2024;12;16261514
2023;1;44631348
2024;1;55457822
2024;2;74203720
2024;6;61352484
2024;8;78286712
2023;8;16808772
2023;5;110736492
2024;6;16517256
2023;7;104826792
2024;6;99459955
2024;5;55511568
2024;12;127578010
2024;1;42945240
2024;5;101156184
2023;5;72336780
2023;7;64073968
2023;8;103074054
2024;12;57977570
2023;12;4001314
2023;2;9693324
2023;6;53311965
2023;4;58544200
2023;10;45962280
2023;3;33232286
2023;4;109464258
2023;10;124783673
2023;11;121010729
2024;9;101574830
2024;1;7502674
2023;11;6164364
2023;6;85742585
2023;9;17957217
2024;3;17523474
2024;4;24869619
2023;8;43697829
2023;8;11086500
2024;11;89005060
2024;7;17320761
2023;3;28893655
2023;7;55335027
2024;1;31309000
2024;4;34139934
2023;9;40535250
2023;5;6431020
2024;8;19876624
2024;7;99548110
2024;9;28782985
2024;3;42786324
2024;4;88770910
2024;10;33555420
2024;5;115682476
2024;7;32101528
2024;1;17351097
2024;4;9116454
2023;6;16709172
2023;1;49814346
2023;5;109824972
2023;1;58886368
2023;3;46872924
2024;12;27423498
2024;9;4391800
2023;2;18336836
2023;10;103523945
2023;12;28978980
2024;5;29169702
2023;8;8034928
2024;4;45440815
2023;8;60187844
2024;2;56891652
2024;10;19560752
2023;4;139214453
2024;4;40254270
2023;4;9819304
2024;10;91989600
2023;6;53281947
2023;7;46853925
2024;12;35053900
2024;6;43163575
2023;2;8314650
2023;11;45927603
2024;4;4302001
2024;8;40381695
2023;6;39801065
2024;8;16412998
2024;7;102070145
2023;10;68472380
2023;12;5915475
2024;11;19601664
2023;8;50214126
2023;8;44141454
2024;3;15944750
2024;8;136762409
2024;8;83131325
2024;7;18582978
2023;10;62785366
2024;9;30569076
2024;1;127965782
2024;5;28115205
2024;4;12584790
2023;4;39701442
2023;5;4960903
2023;3;46465110
2023;10;59501634
2023;11;15363827
2023;7;17729334
2024;12;15254641
2023;7;122962530
2023;7;9795790
2024;1;18384546
2023;6;9205471
2023;1;4246484
2024;5;51295944
2023;8;6218714
2023;11;85650030
2024;9;8380988
2023;2;61399240
2024;5;81265844
2023;5;66381420
2024;2;6189063
2023;2;13651098
2023;9;17369057
2023;9;15862636
2024;7;18118080
2023;5;40582126
2024;4;4633603
2023;7;34045728
2024;12;136698401
2024;10;78628632
2024;9;9018370
2023;8;91354668
2024;9;15787878
2024;9;17738849
2024;3;34245044
2024;9;44622471
2023;12;14735660
2023;8;71043740
2023;9;9076163
2023;3;36630576
2023;7;117703698
2024;2;39717304
2024;9;101223855
2024;5;99949785
2023;1;51842052
2023;10;53770074
2023;12;104723034
2024;1;87777900
2024;7;59095377
2023;11;14406753
2023;10;101025915
2024;4;4737116
2024;1;34270320
2023;1;9317909
2024;5;65957822
2023;3;121367092
2023;10;17300373
2024;1;60038644
2023;8;35552520
2023;6;30459408
2024;6;105818748
2024;1;117005630
2024;11;34031550
2023;3;117288426
2024;2;87782440
2023;9;38518145
2024;4;29718858
2024;4;42671573
2024;9;119781144
2023;11;34656552
2024;12;8675254
2024;8;25631379
2023;4;38905342
2024;1;60156186
2024;3;35120784
2024;3;68479292
2023;3;99785400
2023;6;116370268
2024;6;45037098
2023;1;33885924
2023;10;20380595
2024;8;18190404
2023;3;9382107
2023;8;34866132
2023;2;54620826
2023;2;23656908
2023;4;76559450
2024;7;126655809
2024;7;18245700
2023;11;110905362
2024;11;92370780
2023;11;35628088
2023;12;17269880
2023;12;24324155
2024;11;16644776
2024;10;17177163
2024;11;34735578
2023;8;9015883
2024;9;8049628
2023;5;14564566
2023;10;8621738
2024;11;50474316
2023;7;44167578
2024;10;58829907
2023;1;78539096
2024;3;4342460
2023;8;46824174
2024;2;7538874
2023;10;73686472
2024;1;50041263
2023;9;89065170
2024;7;30757548
2023;6;25971688
2023;7;59712980
2023;1;6339748
2023;10;18304471
2023;10;51641637
2023;5;30111550
2023;8;18732903
2023;12;41899040
2023;9;6004033
2023;8;50687943
2023;8;58968384
2024;9;45678475
2024;3;44215608
2023;1;30355124
2023;9;89957040
2024;10;7712959
2024;9;33768942
2023;10;18742252
2023;6;26894061
2024;4;128461067
2024;6;33982524
2023;7;63362243
2023;6;36085360
2024;1;21442130
2023;7;32980164
2023;4;18452248
2023;8;18278511
2023;3;18212277
2023;8;16303928
2024;2;18971764
2024;11;17090996
2023;7;101821993
2024;1;14745259
2023;4;108132966
2023;5;24628542
2024;11;14589101
2024;9;17652959
2023;11;18617115
2024;8;5621437
2023;3;29913288
2023;6;54325859
2023;6;60139473
2024;2;59302180
2023;3;84104105
2024;1;24082659
2023;12;33295634
2024;10;25871658
2024;3;49660644
2024;7;45203711
2024;5;33539796
2023;7;117787920
2023;2;106225805
2023;12;24734928
2024;11;32221378
2024;7;30150771
2023;8;107603104
2024;1;61873404
2023;2;17160588
2024;1;15371825
2023;6;34060360
2023;10;8292511
2023;1;51790818
2024;1;18051510
2024;8;79804044
2024;10;14501649
2023;10;4324404
2023;11;17732790
2024;7;61128716
2024;10;81534344
2024;12;41147635
2023;10;101167398
2023;10;41856115
2023;1;121674168
2024;10;17656650
2023;11;32950505
2023;3;27853158
2023;8;22904232
2024;5;40252190
2023;6;11583698
2024;8;5893512
2023;4;118323534
2024;12;69082472
2023;11;89452005
2024;4;7948315
2023;6;116989957
2023;2;16776108
2023;11;28073214
2023;11;67944296
2023;11;7800311
2023;11;17880538
2024;5;15104620
2023;2;101705195
2023;5;26705094
2024;5;22767284
2023;2;108017310
2024;12;43137810
2024;9;100453360
2024;3;9252326
2024;6;84463690
2023;1;98746970
2024;6;19993371
2024;4;45992334
2023;10;24463960
2023;1;20071380
2023;2;118763701
2023;9;7811249
2023;7;29117628
2023;10;45454560
2024;5;140130515
2024;11;59536440
2023;7;27846654
2024;9;82826380
2024;5;39389564
2024;7;23631970
2024;9;18138336
2023;5;60184143
2023;7;20107507
2023;8;30462510
2023;6;20185068
2024;4;45427662
2024;2;43584276
2024;3;5779504
2023;12;121496431
2024;9;17415024
2023;7;67192824
2024;12;53874192
2024;9;15394639
2023;6;49884459
2024;3;43148150
2024;9;13335228
2023;8;50374332
